"","response","intonation","modifier_type","subject.ID","trial_object","probe_type","trial_modifier","group"
"1","4","declarative","grad+subj+pos","31876","cake","nice","yummy","adults"
"2","3","sarcastic","grad+subj+pos","31876","gift","nice","awesome","adults"
"3","2","declarative","grad+subj+neg","31876","bouquet","nice","messy","adults"
"4","3","sarcastic","grad+subj+neg","31876","question","nice","silly","adults"
"5","3","declarative","–grad–subj","31876","dish","nice","lobster","adults"
"6","3","sarcastic","–grad–subj","31876","shirt","nice","spotted","adults"
"7","4","declarative","grad+subj+pos","31876","story","nice","funny","adults"
"8","3","sarcastic","grad+subj+pos","31876","tool","nice","useful","adults"
"9","3","declarative","grad+subj+neg","31876","hole","nice","careless","adults"
"10","3","sarcastic","grad+subj+neg","31876","solution","nice","bossy","adults"
"11","4","declarative","–grad–subj","31876","novel","nice","fiction","adults"
"12","3","sarcastic","–grad–subj","31876","video","nice","tiktok","adults"
"13","5","declarative","grad+subj+pos","28963","cake","nice","yummy","adults"
"14","1","sarcastic","grad+subj+pos","28963","gift","nice","awesome","adults"
"15","2","declarative","grad+subj+neg","28963","bouquet","nice","messy","adults"
"16","2","sarcastic","grad+subj+neg","28963","question","nice","silly","adults"
"17","3","declarative","–grad–subj","28963","dish","nice","lobster","adults"
"18","1","sarcastic","–grad–subj","28963","shirt","nice","spotted","adults"
"19","3","declarative","grad+subj+pos","28963","story","nice","funny","adults"
"20","1","sarcastic","grad+subj+pos","28963","tool","nice","useful","adults"
"21","2","declarative","grad+subj+neg","28963","hole","nice","careless","adults"
"22","1","sarcastic","grad+subj+neg","28963","solution","nice","bossy","adults"
"23","2","declarative","–grad–subj","28963","novel","nice","fiction","adults"
"24","1","sarcastic","–grad–subj","28963","video","nice","tiktok","adults"
"25","4","declarative","grad+subj+pos","223762","cake","nice","yummy","adults"
"26","2","sarcastic","grad+subj+pos","223762","gift","nice","awesome","adults"
"27","2","declarative","grad+subj+neg","223762","bouquet","nice","messy","adults"
"28","3","sarcastic","grad+subj+neg","223762","question","nice","silly","adults"
"29","2","declarative","–grad–subj","223762","dish","nice","lobster","adults"
"30","2","sarcastic","–grad–subj","223762","shirt","nice","spotted","adults"
"31","4","declarative","grad+subj+pos","223762","story","nice","funny","adults"
"32","2","sarcastic","grad+subj+pos","223762","tool","nice","useful","adults"
"33","2","declarative","grad+subj+neg","223762","hole","nice","careless","adults"
"34","2","sarcastic","grad+subj+neg","223762","solution","nice","bossy","adults"
"35","2","declarative","–grad–subj","223762","novel","nice","fiction","adults"
"36","2","sarcastic","–grad–subj","223762","video","nice","tiktok","adults"
"37","5","declarative","grad+subj+pos","32554","cake","nice","yummy","adults"
"38","5","sarcastic","grad+subj+pos","32554","gift","nice","awesome","adults"
"39","1","declarative","grad+subj+neg","32554","bouquet","nice","messy","adults"
"40","2","sarcastic","grad+subj+neg","32554","question","nice","silly","adults"
"41","2","declarative","–grad–subj","32554","dish","nice","lobster","adults"
